query,label
How do i find out the expiry date of a product,5
"Hi, is your service operating during curfew",12
"I have not received my parcel yet, when will to start the delivery again",20
I am not received my order yet,4
Can you suggest me some products?,18
Authenticated,13
Syntha 6,18
tracking details,7
Are you taking COD orders,12
Skin brightness,18
contact support,2
If I order right now how long will it take to deliver,20
After prepaid when will it arrive?,20
I want to know about my refund or replacement,14
i want to return my order,14
order tracking,7
are you going to start delivery during this lockdown period as well?,20
query related to replacements,14
I don't have the registered phone number,22
I want to gain more muscles,18
My order is very late,4
Workout plan,3
Edit shipping address,10
how will I come to know where my order has reached so far because it is so difficult to track the delivery agent,7
i want replacement,14
when can i call the call center during coronvirus lockdown,0
I have received an Expired product,5
Want COD option,12
Delivery time duration,20
Office Information,26
Double Up Immunity Power,27
i have not received my order till today.,4
call center unavailable,2
When can I expect my delivery because of the pandemic?,7
Is your head office working during lockdown?,26
Product seems fake,13
when will i recieve my order?,7
I'd like to cancel my pending order,1
Is delivery affected by covid 19,20
Hi i am looking for diet chart,3
Resume to Deliver,20
cancel,1
i want to a product for weight gain,18
There's no option for Cash on Delivery,12
i want to replace my bad quality product,14
What's you refund policy,14
Testosterone,18
Is it deliverable to my pin code,17
i want to enroll my self as a seller,6
When will my parcel return?,14
"The product I received was of bad quality, how do I replace it?",14
I have an order related query,11
Take reassessment,25
Is there a delay in delivery becuase of the pandemic?,4
Is delivery available,20
how are you functioning,26
details  needed for my order,11
"The delivery date  says 5 more days, are there any hopes i will receive my order before that",7
Accepted modes of payments,9
Information for return,14
Diet plan for runner,3
Can i order online right now?,12
I want to talk to your executive,2
I want to lose 10 kg in 1 month,18
I want get muscle mass and lean mass,18
I want to buy best mass gainer but I am confused,18
Get Franchise,6
Select another goal,18
Option is not visible,16
Can you tell me what diet is perfect for me,3
Are your offline stores open?,24
Can you deliver it to my address,20
I have Payment & Bill Related Queries,15
i wanna change shipping address,10
are you taking up orders during the lockdown?,12
your contact number,0
Can i go to your shop,24
is curekart office open during the lockdown?,26
How long is parcel delayed because of COVID?,4
What time is your call centre operational during COVID?,0
isopure,18
suggest me beginner diet,3
I want a diet chart prepared for me,3
Why there is a delay,4
Is COD available,12
refund wrong item received,14
Can i collect it from a store,24
human to answer,2
Store information,24
"My money got deducted but my order did not get placed, can you help me?",15
Out of India,8
Hi are you delivering now,20
where do I call you,0
I want to pay COD,12
How do i become a seller on curekart?,6
Do you deliver at my pincode,17
get order status,7
is Cash on delivery possible,12
i want to get in touch,0
Can you please suggest me some products specified to help me gain weight,18
I want to purchase,18
My Money is deducted but the order is not placed,15
I wanted to know whether you are delivering in,17
I want exchange the product,14
plz suggest me a best mass mass gainer...,18
Why it's getting delayed,4
Where can I sign up,22
change of address,10
how is covid impacting your delivery,20
order delayed,4
It’s shows that u returned multiple order,14
I want to call your call centre,0
I want to increase my immunity power,27
Why is my delivery late,4
can you make my ideal diet plan ?,3
Original Products,13
hi can you track my order,7
Any return poliCy,14
I hope you are also working from home during this time,26
when i will get the product?,7
Customer care number not available,2
Wants to buy a supplement through cash on delivery,12
Accept Orders Again,12
real person available,2
Refer Amount,19
Bodybuilding diet,3
my order was delayed,4
Product is fake,13
"I see a transaction on my bank app, the money for the order has been deducted but there is no order visible on my profile",15
Consult Start,3
Increase Immunity,27
Hi I want to order,12
Is it possible to get my order early,7
I wanna Buy,18
Since there is a lockdown and only essestial services are working will cureKart deliver me the items,20
Take Re-assessment,25
I need to replace the product I recieved,14
when will i receive this product?,7
Is delivery available at my pincode,17
I want refund as soon as in my account,14
i can't make a prepaid payment,9
I am not getting any update on my parcel because of corona,20
You are useless,2
Biotin,18
How can I get a refund for the order I placed?,14
Change delivery address?,10
are your products genuine,13
How to know if product is orignal,13
Can my product be delivered to my pincode,17
Fat Loss,18
what will be the delivery date,20
Can i talk to a human,2
Gainer,18
Will you deliver to my pincode,17
Could you please help me tracking my order,7
Stores near me,24
Show me the form to add goal details,25
Hii I am looking for lean muscle body advice me diet chart,3
BCAA,18
connect me to supervisor,2
Give immediate resolution,2
Calcium,18
Authenticate,13
I want to reduce my fat,18
how to verify its original or duplicate,13
If i i order today .how much time it will be delivered?,20
If I place order today how soon can I get order delivered?,20
want to contact your customer care number send me,0
Hairfall,18
Cash on delivery option is not showing,12
Authentication,13
I want to cancel a product,1
Talk,2
It has any side effects or not,21
Sir I want to fast gain weight.,18
Get Diet & Fitness Advice,3
which is the best one to use for body gainer,18
MB Supergainer,18
My replacement order,14
I am new to curekart,22
I want replace my order,14
CureKart stores are open?,24
Order query,11
Best whey for lean body,18
I need some hair care products since I have been experiencing a lot for problems lately,18
are you accepting prepaid orders during lockdown,12
ordered wrong item,14
Delay Order,4
my order has not reached,7
I need to change the address of my order,10
If I order now do I get delivery,20
Refund & Replacement,14
Slim tea,18
How can I add my goals,25
when can i expect my delivery,7
when will my order be delivered?,7
Diet and Fitness Advice for Maintain Weight,3
I want a muscular body,18
What if I receive expired product,5
do you have authentic products,13
why is parcel taking so long,4
For biceps and tricep muscle growth supplements,18
how to long will it take for delivery of producs,20
i need supplements,18
If i order today in how many days it will be delivered,20
Can I place Cash on delivery order,12
Poor service,2
Weight Loss diet,3
I want to cancel my order,1
If I order today when I will get it,20
Delivery is available but it will take 15-18 days u mean to say,20
How much time for prepaid parcels,20
Help required on order,11
Cash on Delivery,12
please refund my amount,14
What is my order shipment progress?,7
Is your store open,24
I need my order status,7
Delivery out of India,8
is your banglore office working right now?,26
How do I Reach you guys,0
Tell me weight gaining,3
I would like to know the originality of the product,13
Return,14
How come there is  no COD on curekart,12
How can I pay Online,9
How I check product is original or fake,13
can i get original product,13
Hair Fall,18
I want to gain my weight,18
What is the best pre workout protein to boost heavy duty workout,18
Replacement,14
"I want help to reach my weight goal, can you suggest some products?",18
Address Issue,10
Can I purchase from shop,24
MB Gold Protein,18
I need to talk to someone,2
Whats the tracking number,7
why my order keep getting delayed,4
Can I order it ? While lockdown as well.,12
Can I purchase directly from store,24
Track my order,7
Hello are you currently delivering?,20
Product delayed,4
I want home gym product,18
Generate Advice,3
i mean i want protein supplement,18
Can i place prepaid order,12
It has not been delivered yet. So I want to know when it will be delivered,7
Get Product Service,17
Can I visit your store,24
I have a query related to my order,11
My order did not get placed but my money got deducted form my account.,15
would like to associated as seller,6
"i have placed a order recently,money deducted but order not placed",15
I am not sure if covid is affecting your delivery,20
other websites like lagoon are delivering when will curekart start again to deliver?,20
my money has been deducted but it's not been place order,15
Is your product original,13
Modes of payments,9
check the order status,7
Are you people delivering products?,20
I want to change my shipping address,10
Recommend me workout schedule diet and protein,3
This is an emergency,2
Let's do Re-assessment,25
ways of paymets,9
Omega 3,18
Re-assessment,25
How to check products is original or not,13
Expiry Date,5
I want to order whey protein...can you please tell me expacted time of delivery,20
I want to complain,2
Height increasing nutrition,18
Return product,14
Glutathione,18
Are you delivering in lock down?,20
I need customer support,2
body detox,18
This is urgent,2
My Cart Is empty,16
Muscle diet,3
New to CureKart?,22
I'm here to browse some products because my friend said heathkart has some superb varieties,18
"my bill has been not publised yet on the website, i want a bill for my order",15
What is my current order status,7
can you let me know exact delivery time,20
I want to buy,18
i want to gain musclemass,18
Are your products 100% original?,13
Best mass gainer??,18
pay on delivery option on the portal,12
"as there is a lockdown everywhere, is CureKart still working?",20
Refund,14
Referral,19
Payments & bill,15
Chat with agent,2
What are the modes of payments you accept,9
Call centre not picking up,2
i need information related to delivery times,20
Recommend a product,18
Delivery is showing very late,4
Diet,3
Your delivery service is always slow I am done with CureKart,2
Can u provide fitness advice ?,3
Can u deliver product during shut down?,20
as it is only showing return policy but nowhere option to return my order,14
COD is not available?,12
Buy through Cash on delivery,12
Body fat loss,18
Are you taking orders for delivery,12
need an immediate fix to my problem,2
Àre your shops operational,24
I want to know my refund status,14
I want to return my last order,14
I want to take Re-assessment,25
Need to change shipping address,10
can i get the tracking id,7
Show me the main menu,23
"hello, is ther anyone available to assist",2
Status of my order,7
Refer & Earn,19
I want to transform my lifestyle to be more healthy,18
how will covid lockdown affect my order,7
Wrong  items shipped,14
How to complaint,2
Multivitamin,18
I need dumbbells,18
Are you shipping to my pincode,17
give me all kinds of products you have,18
pincode serviceable,17
I want to add my goals,25
Why my parcel is delay,4
Weight gainer,18
Are your stores open,24
Authentic,13
I need urgent assistance,2
I want to know about my payments,15
it's been delayed,4
Re-assess my profile,25
Side Effect,21
Bulk gainer,18
what products would you suggest to lose weight?,18
Delivery address is wrong it is to be changed,10
does covid affext your call center time,0
Are you guys still accepting order?,12
Diet and Fitness Advice for Weight Gain,3
I have referral promo code,19
Which products can you help me?,18
Cancelling,1
give products for protein,18
My Order is Delayed,4
Where can we find expiry information regarding product,5
Become a seller,6
can I pay cash later,12
Can you check if my pincode is serviceable,17
Portal not working,16
Increase immunity power,27
Is deliveries happening now?,20
Diet plan,3
