query-id	corpus-id	score
0	31715818	1
2	13734012	1
4	22942787	1
6	2613775	1
9	44265107	1
10	32587939	1
11	32587939	1
12	33409100	1
14	641786	1
15	22080671	1
17	1606628	1
18	22942787	1
19	3202143	1
20	3202143	1
21	41493639	1
22	6490571	1
24	3471191	1
25	2613775	1
26	32390525	1
27	32390525	1
28	12670680	1
30	24341590	1
32	12428497	1
34	11705328	1
35	5152028	1
35	11705328	1
37	5152028	1
37	11705328	1
39	13497630	1
40	13497630	1
41	18174210	1
43	7224723	1
44	56893404	1
45	56893404	1
46	380526	1
47	3512154	1
47	26996935	1
52	45638119	1
55	49556906	1
58	4709641	1
60	13899137	1
60	13901073	1
61	13899137	1
61	13901073	1
62	32587939	1
63	40349336	1
64	40349336	1
66	14806256	1
67	21295300	1
68	21295300	1
69	5956380	1
69	4414547	1
71	1127562	1
73	6076903	1
74	4387784	1
76	5531479	1
77	5531479	1
78	5099266	1
79	5099266	1
80	4920376	1
81	1797622	1
82	3619372	1
85	7521113	1
85	22406695	1
86	7521113	1
86	22406695	1
88	7521113	1
88	22406695	1
89	7521113	1
89	22406695	1
90	22406695	1
91	1084345	1
92	1084345	1
93	2692522	1
95	1215116	1
96	14500725	1
98	6540064	1
104	40164383	1
105	36606083	1
106	25515907	1
106	5151024	1
108	6191684	1
108	22995579	1
108	23865182	1
109	4319174	1
111	13513790	1
112	6157837	1
114	33872649	1
116	33872649	1
119	14606752	1
120	14606752	1
121	31460499	1
122	31460499	1
123	4883040	1
126	24512064	1
134	4695046	1
138	26016929	1
139	22080671	1
144	10582939	1
149	6227220	1
152	15488881	1
153	4702639	1
154	4702639	1
155	37549932	1
156	37549932	1
157	13439128	1
159	9394119	1
160	52874170	1
161	6903077	1
164	5824985	1
165	5824985	1
166	18872233	1
167	18872233	1
168	5824985	1
169	5824985	1
172	12670680	1
173	8126244	1
174	1710116	1
175	1710116	1
176	32587939	1
177	9669099	1
178	16322674	1
178	27123743	1
178	23557241	1
178	17450673	1
181	16966326	1
182	11369420	1
184	12827098	1
186	16855829	1
187	16855829	1
189	4421578	1
196	19313533	1
197	2177022	1
199	2177022	1
200	18231807	1
201	2462673	1
203	9558539	1
204	7898952	1
205	7898952	1
205	470625	1
209	32587939	1
210	13794374	1
211	13794374	1
214	13625993	1
220	19205437	1
221	19205437	1
222	19205437	1
223	2014909	1
224	6944800	1
225	6944800	1
226	6944800	1
227	26973393	1
228	4928057	1
229	56893404	1
235	4388470	1
241	2212067	1
241	10608822	1
242	2212067	1
242	10608822	1
243	8148122	1
244	21498497	1
245	8447873	1
245	3430789	1
246	8447873	1
246	3430789	1
247	13578199	1
250	1568684	1
251	1568684	1
253	37424881	1
254	37424881	1
255	5850219	1
256	5850219	1
258	22080671	1
259	8883846	1
262	14610165	1
263	11328820	1
263	30041340	1
263	14853989	1
264	11328820	1
265	2033917	1
266	22405338	1
267	5912283	1
267	31554917	1
272	11614737	1
277	14376683	1
278	14376683	1
280	25001628	1
281	4632921	1
283	1974176	1
285	5548081	1
286	4709641	1
287	4709641	1
290	15048300	1
292	15048300	1
293	10874408	1
296	4398832	1
299	39381118	1
301	3553087	1
304	14797520	1
305	14797520	1
306	7821634	1
308	7821634	1
309	7821634	1
310	6173523	1
313	6173523	1
315	3701541	1
316	712078	1
317	4506414	1
323	2014909	1
325	40349336	1
326	40349336	1
330	9505448	1
331	9505448	1
332	29023309	1
333	29023309	1
334	25079962	1
335	1780819	1
336	2097256	1
337	2097256	1
339	23349986	1
340	7098463	1
341	7098463	1
342	7873737	1
342	5884524	1
345	4394817	1
346	11902109	1
347	11902109	1
349	13497630	1
351	14658685	1
352	14658685	1
355	12800122	1
355	38380061	1
356	6144337	1
357	18111172	1
358	18111172	1
361	38587347	1
363	5386514	1
364	1550937	1
365	600437	1
366	13956305	1
367	27099731	1
368	27099731	1
369	6826100	1
370	1550937	1
371	1550937	1
372	24922825	1
375	1522647	1
376	22401061	1
377	18810195	1
378	45154987	1
378	10534299	1
378	11886686	1
378	25007443	1
378	17150648	1
379	19005293	1
381	18340282	1
382	11659421	1
383	13770184	1
389	1148122	1
390	1148122	1
391	1148122	1
392	1148122	1
393	1148122	1
394	11360768	1
396	1456068	1
397	1456068	1
398	8883846	1
400	791050	1
401	5633876	1
403	1921218	1
404	1921218	1
406	6796297	1
407	9889151	1
413	6309659	1
414	6309659	1
416	6309659	1
417	6309659	1
418	16660256	1
420	9315213	1
422	11172205	1
423	8595678	1
